price,kind,sqft,bed,bath,rating,internet,air-conditioning,television,Satellite/Cable,heater,washing machine,elevator,kitchen,hot tub,fitness room,concierge,parking
123.0,0.0,0.05555555555555555,2.0,2.0,0.92380952,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
167.0,0.0,0.05555555555555555,1.0,1.0,0.88780488,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
138.0,0.0,0.05555555555555555,2.0,2.0,0.8709678000000001,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
168.0,0.0,0.1111111111111111,1.0,1.0,0.9857142,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
165.0,0.0,0.05555555555555555,1.0,1.0,0.8863635999999999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
175.0,0.0,0.1111111111111111,1.0,1.0,0.9777778,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
93.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
189.0,0.0,0.1111111111111111,2.0,2.0,0.9,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
124.0,0.0,0.1111111111111111,1.0,1.0,0.9306665999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
152.0,0.0,0.05555555555555555,1.0,1.0,0.85,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
174.0,0.0,0.05555555555555555,1.0,1.0,0.94594594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
148.0,0.0,0.1111111111111111,1.0,1.0,0.9736842,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
